estimate_number,estimate_date,customer_name,salesperson,estimate_subtotal,estimate_status,estimate_zoho_id,salesorder_number,salesorder_date,salesorder_status,salesorder_subtotal,so_dead_cost_total,so_dead_profit,so_profit,so_salesperson,salesorder_zoho_id,package_count,package_numbers,package_carriers,package_tracking_numbers,package_statuses,package_total_shipping_charge,po_count,dropship_count,po_vendors,dropship_vendors,po_statuses,po_total_cost,invoice_number,invoice_date,invoice_due_date,invoice_status,invoice_subtotal,invoice_dead_cost_total,invoice_dead_profit,invoice_profit,invoice_vig_rate,invoice_margin_pct,invoice_commission,invoice_balance,invoice_cc_fees,invoice_actual_shipping_cost,is_written_off,written_off_date,paid_in_full_date,invoice_zoho_id,payment_count,total_payments_received,payment_modes,last_payment_date
,,GHILOTTI BROS.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4443,2020-09-17,2020-10-17,paid,17189.00,8752.20,8436.80,7663.30,1.00,49.08,3831.65,0.00,773.50,,,,30 Sep 2020,1254360000004646133,1,17055.43,AUTHORIZE.NET,2020-09-30
,,BRADEN CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4442,2020-09-17,2020-10-17,paid,299.94,164.00,135.94,92.74,1.30,30.92,46.37,0.00,0.00,,,,12 Oct 2020,1254360000004652047,1,339.48,CHECK,2020-10-12
,,TOWNSLEY MASONRY,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4440,2020-09-17,2020-10-17,paid,519.84,223.70,296.14,211.64,1.30,45.21,105.82,0.00,23.39,,,,22 Oct 2020,1254360000004642913,1,563.53,AUTHORIZE.NET,2020-10-22
,,CAMPS CONTRACTORS LLC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4439,2020-09-17,2020-10-17,paid,937.50,587.00,350.50,180.40,1.30,19.24,90.20,0.00,0.00,,,,27 Oct 2020,1254360000004642837,1,1031.24,CHECK,2020-10-27
,,MICHAEL MCDONALD,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4438,2020-09-17,2020-09-17,paid,800.00,252.00,548.00,436.40,1.00,68.50,218.20,0.00,36.00,,,,17 Sep 2020,1254360000004642799,1,800.00,AUTHORIZE.NET,2020-09-17
,,MW & SON INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4437,2020-09-17,2020-09-17,paid,251.75,128.91,122.84,111.51,1.30,48.79,55.76,0.00,11.33,,,,17 Sep 2020,1254360000004642635,1,271.38,AUTHORIZE.NET,2020-09-17
,,PROFESSIONAL CONCRETE CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4436,2020-09-17,2020-10-17,paid,148.99,76.32,72.67,65.97,1.30,48.78,32.98,0.00,6.70,,,,21 Oct 2020,1254360000004642357,1,174.48,AUTHORIZE.NET,2020-10-21
,,DARYL DANIELS CONSTRUCTION,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4435,2020-09-17,2020-10-17,paid,250.00,84.00,166.00,129.55,1.30,56.32,64.78,0.00,11.25,,,,17 Sep 2020,1254360000004642156,1,269.45,AUTHORIZE.NET,2020-09-17
,,KINNEY CONSTRUCTION SERVICES,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4434,2020-09-17,2020-10-17,paid,1879.92,840.00,1039.92,715.32,1.30,42.55,357.66,0.00,84.60,,,,27 Oct 2020,1254360000004642045,1,2111.38,AUTHORIZE.NET,2020-10-27
,,BOLANDER & SONS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4433,2020-09-15,2020-10-15,paid,399.98,222.60,177.38,177.38,1.00,44.35,88.69,0.00,0.00,,,,03 Nov 2020,1254360000004612187,1,426.40,CHECK,2020-11-03
,,CEMENT CUTTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4432,2020-09-14,2020-10-14,paid,2819.84,861.00,1958.84,1700.54,1.00,69.47,850.27,0.00,0.00,,,,28 Nov 2020,1254360000004605131,1,3191.83,CHECK,2020-11-28
,,DFW INTERNATIONAL AIRPORT,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4431,2020-09-14,2020-10-14,paid,879.50,407.00,472.50,310.82,1.30,39.84,155.41,0.00,39.58,,,,17 Sep 2020,1254360000004605021,1,947.24,AUTHORIZE.NET,2020-09-17
,,STEEL-CRETE INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4430,2020-09-10,2020-10-10,paid,497.50,379.37,118.13,34.88,1.30,7.01,17.44,0.00,0.00,,,,23 Oct 2020,1254360000004561727,1,493.94,CREDIT NOTE,2020-10-23
,,ALLIED CONCRETE AND MASONRY,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4429,2020-09-09,2020-10-09,paid,3399.50,2534.75,864.75,-42.65,1.30,3.25,-21.33,0.00,152.98,,,,10 Sep 2020,1254360000004572069,2,3624.25,AUTHORIZE.NET,2020-09-10
,,"J EXPRESS CONCRETE, INC",TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4428,2020-09-04,2020-10-04,paid,654.00,189.00,465.00,378.87,1.30,62.43,189.44,0.00,29.43,,,,08 Oct 2020,1254360000004517355,1,701.36,AUTHORIZE.NET,2020-10-08
,,LEGENDARY ESCAPES,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4427,2020-09-04,2020-10-04,paid,239.92,95.04,144.88,105.57,1.30,48.50,52.79,0.00,10.80,,,,04 Sep 2020,1254360000004517171,1,261.24,AUTHORIZE.NET,2020-09-04
,,WESTERN SUMMIT CONTRACTORS INC (CQ),TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4426,2020-09-02,2020-10-02,paid,0.00,79.00,-79.00,-102.70,1.30,0.00,-51.35,0.00,0.00,,,,,1254360000004511223,0,0.00,,
,,STEEL-CRETE INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4425,2020-09-02,2020-10-02,paid,951.30,650.40,300.90,62.97,1.30,11.12,31.49,0.00,42.81,,,,02 Sep 2020,1254360000004505989,1,1055.77,AUTHORIZE.NET,2020-09-02
,,ALL-WAYS CONSTRUCTION,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4424,2020-09-02,2020-10-02,paid,1230.00,568.00,662.00,503.60,1.30,40.94,251.80,0.00,0.00,,,,29 Sep 2020,1254360000004505904,1,1276.71,CHECK,2020-09-29
,,DEGAN CONSTRUCTION,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4423,2020-09-02,2020-10-02,paid,449.99,216.91,233.08,206.68,1.30,45.93,103.34,0.00,0.00,,,,30 Oct 2020,1254360000004505654,1,504.90,CHECK,2020-10-30
,,TIDE CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4422,2020-09-02,2020-10-02,paid,1799.88,378.00,1421.88,1227.49,1.00,79.00,613.74,0.00,80.99,,,,02 Sep 2020,1254360000004505476,1,1842.79,AUTHORIZE.NET,2020-09-02
,,JESUS JACQUEZ CONSTRUCTION,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4421,2020-09-02,2020-10-02,paid,1079.88,441.00,638.88,506.58,1.30,46.91,253.29,0.00,0.00,,,,25 Sep 2020,1254360000004505442,1,1166.30,CHECK,2020-09-25
,,QUALIFIED CONSTRUCTION CORP,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4420,2020-09-02,2020-10-02,paid,179.99,88.00,91.99,65.59,1.30,36.44,32.80,0.00,0.00,,,,09 Oct 2020,1254360000004505380,1,196.48,CHECK,2020-10-09
,,GHILOTTI BROS.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4419,2020-09-02,2020-10-02,paid,1059.88,346.00,713.88,562.39,1.00,67.35,281.19,0.00,47.69,,,,09 Sep 2020,1254360000004505259,1,1184.47,AUTHORIZE.NET,2020-09-09
,,MITTS & MERRILL,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4418,2020-09-02,2020-09-02,paid,1107.76,742.44,365.32,92.74,1.00,32.98,46.37,0.00,49.85,,,,02 Sep 2020,1254360000004505063,1,1107.76,AUTHORIZE.NET,2020-09-02
,,MICHAEL MCDONALD,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4417,2020-09-02,2020-09-02,paid,800.00,252.00,548.00,436.40,1.00,68.50,218.20,0.00,36.00,,,,02 Sep 2020,1254360000004505001,1,800.00,AUTHORIZE.NET,2020-09-02
,,GUSTAFSON EXCAVATING,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4416,2020-08-31,2020-09-30,void,82.60,62.50,20.10,1.35,1.30,,0.67,92.60,,10.00,,,,1254360000004481234,0,0.00,,
,,EARTH CONCRETE LTD,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4415,2020-08-31,2020-09-30,paid,560.28,232.75,327.53,232.49,1.30,46.00,116.25,0.00,25.21,,,,01 Sep 2020,1254360000004481165,1,636.80,AUTHORIZE.NET,2020-09-01
,,LESTER CONCRETE CONSTRUCTION AND EXCAVATION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4414,2020-08-28,2020-09-27,void,213.98,135.00,78.98,50.48,1.30,,25.24,240.28,,26.30,,,,1254360000004461503,0,0.00,,
,,DNR****ALBRETSEN'S CONCRETE & CONSTRUCTION****DNR,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4413,2020-08-28,2020-09-27,paid,1071.00,596.00,475.00,254.00,1.00,44.35,127.00,0.00,48.20,,,,01 Oct 2020,1254360000004461377,1,1129.46,AUTHORIZE.NET,2020-10-01
,,ARTISTIC GARDENS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4412,2020-08-28,2020-09-27,paid,1912.50,840.25,1072.25,832.17,1.30,43.51,416.09,0.00,0.00,,,,07 Oct 2020,1254360000004461311,1,2006.01,CHECK,2020-10-07
,,SPOKANE CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4411,2020-08-28,2020-09-27,paid,839.88,308.00,531.88,407.69,1.30,53.04,203.84,0.00,37.79,,,,05 Nov 2020,1254360000004461287,1,916.18,AUTHORIZE.NET,2020-11-05
,,GHILOTTI BROS.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4410,2020-08-28,2020-09-27,paid,1919.76,486.00,1433.76,1201.57,1.00,74.68,600.79,0.00,86.39,,,,09 Sep 2020,1254360000004461195,1,2094.26,AUTHORIZE.NET,2020-09-09
,,CULY CONTRACTING,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4409,2020-08-28,2020-09-27,paid,1890.00,1056.00,834.00,432.15,1.30,27.37,216.07,0.00,85.05,,,,28 Aug 2020,1254360000004458021,1,1962.65,AUTHORIZE.NET,2020-08-28
,,JTA CONSTRUCTION LLC,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4408,2020-08-27,2020-09-26,paid,600.00,230.00,370.00,286.00,1.00,61.67,143.00,0.00,27.00,,,,27 Aug 2020,1254360000004453128,1,684.16,AUTHORIZE.NET,2020-08-27
,,RAMON PARRA,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4407,2020-08-27,2020-09-26,paid,129.60,64.40,65.20,45.88,1.30,35.40,22.94,0.00,0.00,,,,,1254360000004453082,0,0.00,,
,,LUCKY DOG CONTRACTING,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4406,2020-08-26,2020-09-25,paid,182.99,104.50,78.49,53.14,1.30,29.04,26.57,0.00,0.00,,,,14 Sep 2020,1254360000004438903,1,211.44,CHECK,2020-09-14
,,R & M CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4405,2020-09-15,2020-10-15,paid,1499.75,807.50,692.25,456.00,1.00,46.16,228.00,0.00,0.00,,,,29 Sep 2020,1254360000004438853,1,1576.28,CHECK,2020-09-29
,,SOUTHERN PREMIER CONTRACTORS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4404,2020-08-26,2020-09-25,paid,4999.75,2240.00,2759.75,1874.76,1.30,42.00,937.38,0.00,224.99,,,,26 Aug 2020,1254360000004438523,1,4999.75,AUTHORIZE.NET,2020-08-26
,,DARCIMAR XAVIER PAVERS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4402,2020-08-26,2020-09-25,paid,614.29,279.32,334.97,229.53,1.30,41.87,114.77,0.00,27.64,,,,26 Aug 2020,1254360000004438242,1,653.22,AUTHORIZE.NET,2020-08-26
,,GHILOTTI BROS.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4401,2020-08-26,2020-09-25,paid,4999.90,3170.00,1829.90,1604.90,1.00,36.60,802.45,0.00,225.00,,,,09 Sep 2020,1254360000004438201,1,5420.59,AUTHORIZE.NET,2020-09-09
,,COASTAL FORCE CONSTRUCTION LTD,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4400,2020-08-25,2020-09-24,void,399.97,181.59,218.38,169.90,1.30,,84.95,458.62,,58.65,,,,1254360000004429549,0,0.00,,
,,PHANTOM CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4399,2020-08-25,2020-09-24,paid,319.38,145.22,174.16,116.22,1.30,40.89,58.11,0.00,14.37,,,,23 Sep 2020,1254360000004429409,1,355.83,AUTHORIZE.NET,2020-09-23
,,MAX CONCRETE,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4398,2020-08-21,2020-08-21,paid,382.76,155.25,227.51,163.71,1.30,47.27,81.86,0.00,17.22,,,,23 Aug 2020,1254360000004412275,1,408.08,AUTHORIZE.NET,2020-08-23
,,MAR VON CORP,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4397,2020-08-21,2020-09-20,paid,1004.52,521.88,482.64,332.08,1.30,33.06,166.04,0.00,0.00,,,,25 Sep 2020,1254360000004412141,1,1034.52,CHECK,2020-09-25
,,WHITMAN CONTRACTORS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4396,2020-08-21,2020-09-20,paid,424.25,5378.50,-4954.25,-6574.89,1.30,-1545.27,-3287.45,0.00,19.09,,,,26 Aug 2020,1254360000004412063,1,448.68,AUTHORIZE.NET,2020-08-26
,,MICHAEL MCDONALD,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4395,2020-08-19,2020-08-19,paid,800.00,252.00,548.00,436.40,1.00,68.50,218.20,0.00,36.00,,,,19 Aug 2020,1254360000004381383,1,800.00,AUTHORIZE.NET,2020-08-19
,,AGUILERA MASONRY,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4394,2020-08-19,2020-09-18,paid,525.00,198.00,327.00,243.97,1.30,50.97,121.99,0.00,23.63,,,,28 Oct 2020,1254360000004381321,1,549.97,AUTHORIZE.NET,2020-10-28
,,CEMENT CUTTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4393,2020-08-19,2020-09-18,paid,2300.00,1701.82,598.18,456.43,1.00,26.01,228.22,0.00,0.00,,,,27 Oct 2020,1254360000004381214,1,2572.94,CHECK,2020-10-27
,,PACIFIC NORTHWEST MASONRY,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4391,2020-08-19,2020-09-18,paid,453.66,209.00,244.66,167.55,1.30,41.43,83.77,0.00,20.41,,,,21 Aug 2020,1254360000004381025,1,501.18,AUTHORIZE.NET,2020-08-21
,,"SILVA CONSTRUCTION, INC.",MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4390,2020-08-18,2020-09-17,paid,14799.43,7549.26,7250.17,6125.89,1.00,48.99,3062.95,0.00,0.00,,,,28 Aug 2020,1254360000004361095,1,14789.94,CHECK,2020-08-28
,,NORTH STATE MASONRY,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4389,2020-08-14,2020-09-13,paid,749.95,466.00,283.95,131.40,1.00,37.86,65.70,0.00,33.75,,,,14 Aug 2020,1254360000004351571,1,869.91,AUTHORIZE.NET,2020-08-14
,,KOHLER CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4388,2020-08-14,2020-09-13,paid,0.00,140.42,-140.42,-158.55,1.00,,-79.27,0.00,0.00,0.00,,,,1254360000004351513,0,0.00,,
,,W.N. YOSS CONSTRUCTION INC,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4387,2020-08-14,2020-09-13,paid,150.00,128.00,22.00,-11.15,1.00,14.67,-5.58,0.00,6.75,,,,23 Sep 2020,1254360000004351417,1,163.37,AUTHORIZE.NET,2020-09-23
,,BOLANDER & SONS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4386,2020-08-14,2020-09-13,paid,0.00,192.00,-192.00,-243.60,1.00,0.00,-121.80,0.00,0.00,,,,,1254360000004351391,0,0.00,,
,,MORNING DEW LLC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4385,2020-08-14,2020-08-14,paid,375.00,150.00,225.00,163.13,1.30,48.00,81.56,0.00,16.88,,,,15 Aug 2020,1254360000004341891,1,413.95,PayPal,2020-08-15
,,HOME FRONT CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4384,2020-08-14,2020-09-13,paid,299.97,150.00,149.97,91.47,1.30,,45.74,0.00,13.50,31.48,,,,1254360000004341771,1,331.45,AUTHORIZE.NET,2020-09-14
,,DAVID LEECH CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4383,2020-08-14,2020-09-13,paid,2999.99,2007.40,992.59,685.87,1.00,33.09,342.94,0.00,135.00,,,,05 Oct 2020,1254360000004341469,4,2999.99,AUTHORIZE.NET,2020-10-05
,,RMB CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4382,2020-08-14,2020-09-13,paid,2292.92,1820.90,472.02,229.07,1.30,14.49,114.53,0.00,103.18,,,,16 Oct 2020,1254360000004341191,3,2383.50,AUTHORIZE.NET,2020-10-16
,,MONFORT SUPPLY CO,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4381,2020-08-14,2020-09-13,paid,212.73,82.18,130.55,96.32,1.30,49.78,48.16,0.00,9.57,,,,15 Sep 2020,1254360000004341015,1,94.28,AUTHORIZE.NET,2020-09-15
,,KLM CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4380,2020-08-12,2020-09-11,paid,967.24,446.44,520.80,453.65,1.30,51.40,226.82,0.00,43.53,,,,17 Sep 2020,1254360000004311366,1,1026.66,AUTHORIZE.NET,2020-09-17
,,PILAR CUSTOM CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4379,2020-08-12,2020-09-11,paid,209.97,72.00,137.97,116.37,1.30,55.42,58.19,0.00,0.00,,,,31 Aug 2020,1254360000004311325,1,235.26,CHECK,2020-08-31
,,KORELLIS ROOFING INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4378,2020-08-12,2020-09-11,paid,232.50,96.00,136.50,97.24,1.30,46.32,48.62,0.00,10.46,,,,14 Aug 2020,1254360000004311277,1,245.50,AUTHORIZE.NET,2020-08-14
,,GHILOTTI BROS.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4376,2020-08-12,2020-09-11,paid,4461.00,1487.00,2974.00,2327.16,1.00,66.67,1163.58,0.00,200.75,,,,21 Aug 2020,1254360000004311051,1,5006.96,AUTHORIZE.NET,2020-08-21
,,"NJR GROUP, INC",ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4375,2020-08-07,2020-09-06,paid,264.38,117.89,146.49,111.12,1.30,42.03,55.56,0.00,0.00,,,,14 Sep 2020,1254360000004265243,1,295.40,CHECK,2020-09-14
,,KORELLIS ROOFING INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4374,2020-08-07,2020-09-06,paid,177.52,68.00,109.52,81.13,1.30,50.20,40.57,0.00,7.99,,,,07 Aug 2020,1254360000004265034,1,198.75,AUTHORIZE.NET,2020-08-07
,,ELECTRIC CITY CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4373,2020-08-06,2020-09-05,paid,1079.88,461.80,618.08,491.54,1.00,57.24,245.77,0.00,0.00,,,,26 Aug 2020,1254360000004259009,1,1079.88,CHECK,2020-08-26
,,ROBERT JOHNSON CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4372,2020-08-06,2020-09-05,paid,330.00,162.50,167.50,109.90,1.30,37.80,54.95,0.00,14.85,,,,10 Sep 2020,1254360000004264223,1,369.86,AUTHORIZE.NET,2020-09-10
,,J & S CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4371,2020-08-06,2020-09-05,paid,1649.70,1158.80,490.90,75.02,1.00,29.76,37.51,0.00,74.24,,,,06 Aug 2020,1254360000004264081,1,1724.01,AUTHORIZE.NET,2020-08-06
,,HEALTHY TURF,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4370,2020-08-05,2020-09-04,paid,359.94,164.00,195.94,152.74,1.00,54.44,76.37,0.00,0.00,,,,09 Sep 2020,1254360000004249225,1,359.94,CHECK,2020-09-09
,,SOUTHERN EXCAVATING & TRUCKING INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4369,2020-08-04,2020-09-03,paid,959.79,476.15,483.64,394.88,1.30,45.64,197.44,0.00,43.19,,,,07 Sep 2020,1254360000004251066,1,1058.72,AUTHORIZE.NET,2020-09-07
,,BUILDING CONCRETE PONCE INC.,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4368,2020-07-31,2020-08-30,paid,439.74,173.00,266.74,201.05,1.30,50.22,100.53,0.00,19.79,,,,13 Aug 2020,1254360000004239414,1,487.06,PayPal,2020-08-13
,,FRENCH ENTERPRISES LTD,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4367,2020-07-31,2020-09-28,paid,152.52,34.78,117.74,107.31,1.30,70.36,53.65,0.00,0.00,,,,,1254360000004239354,0,0.00,,
,,JVB CONCRETE CUTTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4366,2020-07-31,2020-08-30,paid,275.00,147.00,128.00,77.53,1.00,46.55,38.76,0.00,12.38,,,,31 Aug 2020,1254360000004239076,1,301.37,AUTHORIZE.NET,2020-08-31
,,JR'S EQUIPMENT,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4365,2020-07-31,2020-08-30,paid,887.50,587.00,300.50,90.46,1.30,14.69,45.23,0.00,39.94,,,,31 Jul 2020,1254360000004231864,1,962.50,AUTHORIZE.NET,2020-07-31
,,BADLANDS CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4364,2020-07-29,2020-08-28,paid,1247.93,685.54,562.39,306.57,1.30,29.07,153.29,0.00,56.16,,,,29 Jul 2020,1254360000004210600,1,1305.56,AUTHORIZE.NET,2020-07-29
,,RELAX POOLS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4363,2020-07-29,2020-08-28,paid,419.96,176.25,243.71,196.84,1.30,46.87,98.42,0.00,0.00,,,,21 Oct 2020,1254360000004210379,1,503.05,CHECK,2020-10-21
,,JRDS CONTRACTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4362,2020-07-29,2020-08-28,paid,4499.75,2240.00,2259.75,1397.26,1.00,50.22,698.63,0.00,202.49,,,,04 Sep 2020,1254360000004210327,2,4597.07,AUTHORIZE.NET,2020-09-04
,,EXPERCON,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4361,2020-07-29,2020-08-28,paid,3163.00,2583.17,579.83,173.05,1.00,18.33,86.52,0.00,142.34,,,,31 Aug 2020,1254360000004210073,1,3163.00,AUTHORIZE.NET,2020-08-31
,,MICHAEL MCDONALD,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4360,2020-07-29,2020-07-29,paid,800.00,252.00,548.00,436.40,1.00,68.50,218.20,0.00,36.00,,,,29 Jul 2020,1254360000004188126,1,800.00,AUTHORIZE.NET,2020-07-29
,,DNR----FIRESTONE CONSTRUCTION----DNR,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4359,2020-07-28,2020-08-27,paid,554.54,248.62,305.92,267.89,1.00,55.17,133.95,0.00,0.00,,,,,1254360000004188102,0,0.00,,
,,NORTHERN IMPROVEMENT COMPANY,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4358,2020-07-28,2020-08-27,paid,552.80,388.00,164.80,164.80,1.30,29.81,82.40,0.00,0.00,,,,25 Aug 2020,1254360000004203084,1,576.85,CHECK,2020-08-25
,,J & S FLATWORK,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4357,2020-07-27,2020-08-26,paid,261.61,110.78,150.83,117.60,1.30,44.95,58.80,0.00,0.00,,,,31 Aug 2020,1254360000004184342,1,295.51,CHECK,2020-08-31
,,ESTEBAN RUIZ CONSTRUCTION,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4356,2020-07-27,2020-08-26,paid,599.97,228.96,371.01,344.01,1.30,61.84,172.01,0.00,27.00,,,,27 Jul 2020,1254360000004186755,1,629.29,AUTHORIZE.NET,2020-07-27
,,LUPILLOS CONCRETE,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4355,2020-07-27,2020-08-26,paid,93.00,36.28,56.72,45.84,1.30,49.29,22.92,0.00,0.00,,,,10 Aug 2020,1254360000004186678,1,117.72,CHECK,2020-08-10
,,MALDONADO'S CONCRETE,TONY DELJOOI,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4354,2020-07-27,2020-08-26,paid,189.00,88.00,101.00,66.09,1.30,39.47,33.05,0.00,8.50,,,,09 Sep 2020,1254360000004186610,1,210.11,AUTHORIZE.NET,2020-09-09
,,LION EQUIPMENT,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,4353,2020-07-27,2020-08-26,paid,199.99,88.00,111.99,85.59,1.30,42.80,42.80,0.00,0.00,,,,07 Oct 2020,1254360000004186550,1,210.00,CHECK,2020-10-07
